Applicant,FacilityType,FoodItems,Latitude,Longitude,LocationDescription,dayshours
Leo's Hot Dogs,Push Cart,Hot dogs and related toppings: non alcoholic beverages,37.76008693198698,-122.41880648110114,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),
Casita Vegana,Truck,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188970870838,-122.4925212449949,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),
El Calamar Perubian Food Truck,Truck,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,37.78845702882892,-122.3998841605663,MISSION ST: ANTHONY ST to 02ND ST (573 - 599),
MOMO INNOVATION LLC,Truck,Noodles: Meat & Drinks,37.792870749741496,-122.4007474940767,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),
MOMO INNOVATION LLC,Truck,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.79294895283466,-122.39809861316652,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),
Buenafe,Truck,Tacos: Burritos: Quesadillas: Tortas,37.74574924062031,-122.3924814876784,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),
MOMO INNOVATION LLC,Truck,Noodles,37.78844615690132,-122.3986412420388,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),
Buenafe,Truck,Tacos: Burritos: Quesadillas: Tortas,37.73944545286909,-122.39301498669842,EVANS AVE: PHELPS ST to QUINT ST (1600 - 1699),
MOMO INNOVATION LLC,Truck,Noodles,37.79092150726921,-122.4001004237385,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),
Philz Coffee Truck,Truck,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79621549659414,-122.40375455824538,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),
Philz Coffee Truck,Truck,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79229559981873,-122.40070689723306,PINE ST: BATTERY ST to SANSOME ST (200 - 299),
Buenafe,Truck,Tacos burritos quesadillas tortas pupusas flautas tamales,37.76612469442701,-122.39547306227009,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),
MOMO INNOVATION LLC,Truck,Noodles: Meat & Drinks,37.7865580501799,-122.40103337534973,MISSION ST: ANNIE ST to 03RD ST (663 - 699),
Philz Coffee Truck,Truck,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79279574157871,-122.40135328093122,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),
Zuri Food Facilities,Truck,Peruvian Food Served Hot,37.792346385148,-122.40238532279396,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),
Zuri Food Facilities,Truck,Peruvian Food Served Hot,37.78304609975,-122.39406659922962,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),
Philz Coffee Truck,Truck,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.80457786909011,-122.43301077434302,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),
Philz Coffee Truck,Truck,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.789385451039095,-122.4095912604668,SUTTER ST: POWELL ST to MASON ST (500 - 599),
Zuri Food Facilities,Truck,Peruvian Food Served Hot,37.792150548481686,-122.39399997405944,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),
Senor Sisig,Truck,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,37.79294895283466,-122.39809861316652,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),
Senor Sisig,Truck,Filipino fusion food: taco: burrito: nachos: rice plates,37.78561008636915,-122.40815476434544,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),
Zuri Food Facilities,Truck,Peruvian Food Served Hot,0.0,0.0,MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699),
Senor Sisig,Truck,Various menu items & drinks,37.799260113502285,-122.39961794865545,FRONT ST: BROADWAY to VALLEJO ST (800 - 899),
Senor Sisig,Truck,Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,0.0,0.0,PINE ST: SANSOME ST to CENTURY PL (300 - 340),
Senor Sisig,Truck,Filipino fusion food: taco: burrito: nachos: rice plates,37.7875140607381,-122.39956633142909,02ND ST: MISSION ST to MINNA ST (100 - 130),
Senor Sisig,Truck,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,37.78215364099855,-122.40660110683912,MISSION ST: 05TH ST to MINT ST (900 - 930),
Senor Sisig,Truck,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.,37.799260113502285,-122.39961794865545,BROADWAY: DAVIS ST to FRONT ST (50 - 99),
Senor Sisig,Truck,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.,37.7758255197583,-122.41724962664344,10TH ST: FELL ST \ MARKET ST \ POLK ST to STEVENSON ST (1 - 18),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76854328902419,-122.40849289243862,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.764741322674965,-122.38712481217912,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74540642941645,-122.39008122484672,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74647050664712,-122.38899080865444,QUINT ST: ARTHUR AVE to CUSTER AVE (1 - 199),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76444729556189,-122.397987371508,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.73314239514255,-122.41456863241858,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76799554568555,-122.3875494265472,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.748848056566345,-122.4126189946552,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76200845803015,-122.38544181156826,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.742820234675946,-122.38284735551784,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.75315510671546,-122.3911741844557,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.77070297609754,-122.3907903555664,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74945832902701,-122.38508133967832,MARIN ST: START: 800-949 BLOCK to MICHIGAN ST (800 - 899),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.73811777159187,-122.40441846721173,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.77838861578656,-122.40319178322908,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.75930376638337,-122.39590223123568,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74030387280596,-122.4060597434942,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.758303395642486,-122.39351405481676,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.755030726766726,-122.38453073422282,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74475219161639,-122.38567924872147,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76743301733124,-122.39214911417169,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7682493867935,-122.39843065021364,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76315639322651,-122.42032223152648,17TH ST: MISSION ST to HOFF ST (3300 - 3343),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76912441216805,-122.39147491124584,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.748445338837655,-122.38687903197965,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74459119509166,-122.39307688085802,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76746628714475,-122.39086028943052,16TH ST: 04TH ST to OWENS ST (600 - 699),
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7300036831892,-122.4781863254146,,
Natan's Catering,Truck,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,0.0,0.0,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),
